rank,pos,first,last,team,bye
1,(RB1),Christian,McCaffrey,CAR,13
2,(RB2),Saquon,Barkley,NYG,11
3,(RB3),Ezekiel,Elliott,DAL,10
4,(RB4),Dalvin,Cook,MIN,7
5,(RB5),Alvin,Kamara,NO,6
6,(WR1),Michael,Thomas,NO,6
7,(RB6),Derrick,Henry,TEN,7
8,(RB7),Clyde,Edwards-Helaire,KC,10
9,(RB8),Miles,Sanders,PHI,9
10,(RB9),Kenyan,Drake,ARI,8
11,(RB10),Josh,Jacobs,LV,6
12,(RB11),Nick,Chubb,CLE,9
13,(RB12),Austin,Ekeler,LAC,10
14,(RB13),Joe,Mixon,CIN,9
15,(RB14),Aaron,Jones,GB,5
16,(WR2),Davante,Adams,GB,5
17,(WR3),Julio,Jones,ATL,10
18,(WR4),Tyreek,Hill,KC,10
19,(WR5),DeAndre,Hopkins,ARI,8
20,(TE1),Travis,Kelce,KC,10
21,(WR6),Chris,Godwin,TB,13
22,(WR7),Mike,Evans,TB,13
23,(TE2),George,Kittle,SF,11
24,(WR8),Kenny,Golladay,DET,5
25,(WR9),DJ,Moore,CAR,13
26,(WR10),Adam,Thielen,MIN,7
27,(WR11),Allen,Robinson II,CHI,11
28,(WR12),Amari,Cooper,DAL,10
29,(WR13),JuJu,Smith-Schuster,PIT,8
30,(WR14),Odell,Beckham Jr.,CLE,9
31,(WR15),Courtland,Sutton,DEN,8
32,(WR16),Calvin,Ridley,ATL,10
33,(WR17),A.J.,Brown,TEN,7
34,(QB1),Lamar,Jackson,BAL,8
35,(QB2),Patrick,Mahomes,KC,10
36,(WR18),Robert,Woods,LAR,9
37,(WR19),Tyler,Lockett,SEA,6
38,(WR20),Cooper,Kupp,LAR,9
39,(RB15),Chris,Carson,SEA,6
40,(RB16),David,Johnson,HOU,8
41,(TE3),Mark,Andrews,BAL,8
42,(TE4),Zach,Ertz,PHI,9
43,(RB17),Todd,Gurley II,ATL,10
44,(RB18),James,Conner,PIT,8
45,(RB19),Melvin,Gordon,DEN,8
46,(RB20),Jonathan,Taylor,IND,7
47,(RB21),Le'Veon,Bell,NYJ,11
48,(RB22),Cam,Akers,LAR,9
49,(RB23),Kareem,Hunt,CLE,9
50,(WR21),Terry,McLaurin,WAS,8
51,(WR22),Keenan,Allen,LAC,10
52,(WR23),T.Y.,Hilton,IND,7
53,(WR24),Jarvis,Landry,CLE,9
54,(WR25),DJ,Chark Jr.,JAC,7
55,(WR26),DK,Metcalf,SEA,6
56,(RB24),Antonio,Gibson,WAS,8
57,(RB25),Devin,Singletary,BUF,11
58,(RB26),David,Montgomery,CHI,11
59,(RB27),Raheem,Mostert,SF,11
60,(RB28),Tarik,Cohen,CHI,11
61,(WR27),DeVante,Parker,MIA,11
62,(WR28),Tyler,Boyd,CIN,9
63,(WR29),A.J.,Green,CIN,9
64,(WR30),Michael,Gallup,DAL,10
65,(WR31),Stefon,Diggs,BUF,11
66,(WR32),Will,Fuller V,HOU,8
67,(WR33),Marquise,Brown,BAL,8
68,(WR34),Deebo,Samuel,SF,11
69,(TE5),Darren,Waller,LV,6
70,(RB29),Mark,Ingram II,BAL,8
71,(RB30),Ronald,Jones II,TB,13
72,(RB31),Leonard,Fournette,TB,13
73,(QB3),Deshaun,Watson,HOU,8
74,(QB4),Kyler,Murray,ARI,8
75,(QB5),Dak,Prescott,DAL,10
76,(QB6),Russell,Wilson,SEA,6
77,(WR35),Julian,Edelman,NE,6
78,(WR36),Sterling,Shepard,NYG,11
79,(WR37),Marvin,Jones Jr.,DET,5
80,(WR38),Brandin,Cooks,HOU,8
81,(WR39),Diontae,Johnson,PIT,8
82,(TE6),Evan,Engram,NYG,11
83,(TE7),Tyler,Higbee,LAR,9
84,(RB32),D'Andre,Swift,DET,5
85,(RB33),Kerryon,Johnson,DET,5
86,(RB34),Phillip,Lindsay,DEN,8
87,(RB35),James,White,NE,6
88,(RB36),Jordan,Howard,MIA,11
89,(RB37),Matt,Breida,MIA,11
90,(RB38),J.K.,Dobbins,BAL,8
91,(RB39),Zack,Moss,BUF,11
92,(RB40),Darrell,Henderson Jr.,LAR,9
93,(WR40),Jamison,Crowder,NYJ,11
94,(WR41),Christian,Kirk,ARI,8
95,(WR42),Preston,Williams,MIA,11
96,(WR43),Golden,Tate,NYG,11
97,(WR44),Darius,Slayton,NYG,11
98,(WR45),Robby,Anderson,CAR,13
99,(WR46),John,Brown,BUF,11
100,(WR47),Emmanuel,Sanders,NO,6
101,(WR48),Henry,Ruggs III,LV,6
102,(WR49),Jerry,Jeudy,DEN,8
103,(RB41),Duke,Johnson,HOU,8
104,(RB42),Tevin,Coleman,SF,11
105,(RB43),Alexander,Mattison,MIN,7
106,(WR50),DeSean,Jackson,PHI,9
107,(WR51),Breshad,Perriman,NYJ,11
108,(WR52),Mike,Williams,LAC,10
109,(WR53),CeeDee,Lamb,DAL,10
110,(TE8),Hunter,Henry,LAC,10
111,(TE9),Jared,Cook,NO,6
112,(TE10),Noah,Fant,DEN,8
113,(TE11),Rob,Gronkowski,TB,13
114,(TE12),Hayden,Hurst,ATL,10
115,(TE13),T.J.,Hockenson,DET,5
116,(QB7),Matt,Ryan,ATL,10
117,(QB8),Tom,Brady,TB,13
118,(QB9),Carson,Wentz,PHI,9
119,(QB10),Josh,Allen,BUF,11
120,(QB11),Drew,Brees,NO,6
121,(QB12),Matthew,Stafford,DET,5
122,(QB13),Aaron,Rodgers,GB,5
123,(WR54),N'Keal,Harry,NE,6
124,(WR55),Mecole,Hardman,KC,10
125,(WR56),Curtis,Samuel,CAR,13
126,(WR57),Anthony,Miller,CHI,11
127,(WR58),Justin,Jefferson,MIN,7
128,(RB44),Latavius,Murray,NO,6
129,(RB45),Tony,Pollard,DAL,10
130,(RB46),Chase,Edmonds,ARI,8
131,(RB47),Chris,Thompson,JAC,7
132,(RB48),Nyheim,Hines,IND,7
133,(RB49),Marlon,Mack,IND,7
134,(TE14),Mike,Gesicki,MIA,11
135,(TE15),Chris,Herndon,NYJ,11
136,(TE16),Austin,Hooper,CLE,9
137,(QB14),Daniel,Jones,NYG,11
138,(QB15),Cam,Newton,NE,6
139,(RB50),James,Robinson,JAC,7
140,(RB51),Sony,Michel,NE,6
141,(RB52),Boston,Scott,PHI,9
142,(RB53),Justin,Jackson,LAC,10
143,(RB54),Darrynton,Evans,TEN,7
144,(WR59),Parris,Campbell,IND,7
145,(WR60),Brandon,Aiyuk,SF,11
146,(WR61),Sammy,Watkins,KC,10
147,(WR62),Randall,Cobb,HOU,8
148,(WR63),Alshon,Jeffery,PHI,9
149,(WR64),Larry,Fitzgerald,ARI,8
150,(WR65),Jalen,Reagor,PHI,9
151,(WR66),Michael,Pittman Jr.,IND,7
152,(WR67),Allen,Lazard,GB,5
153,(WR68),Steven,Sims Jr.,WAS,8
154,(WR69),Denzel,Mims,NYJ,11
155,(RB55),Jerick,McKinnon,SF,11
156,(RB56),Joshua,Kelley,LAC,10
157,(RB57),Benny,Snell Jr.,PIT,8
158,(RB58),Darrel,Williams,KC,10
159,(RB59),AJ,Dillon,GB,5
160,(RB60),Damien,Harris,NE,6
161,(TE17),Jack,Doyle,IND,7
162,(TE18),Eric,Ebron,PIT,8
163,(TE19),Irv,Smith Jr.,MIN,7
164,(QB16),Ben,Roethlisberger,PIT,8
165,(QB17),Ryan,Tannehill,TEN,7
166,(QB18),Jared,Goff,LAR,9
167,(QB19),Baker,Mayfield,CLE,9
168,(QB20),Jimmy,Garoppolo,SF,11
169,(DST1),Steelers,D/ST,PIT,8
170,(DST2),Bills,D/ST,BUF,11
171,(DST3),49ers,D/ST,SF,11
172,(DST4),Ravens,D/ST,BAL,8
173,(DST5),Patriots,D/ST,NE,6
174,(DST6),Colts,D/ST,IND,7
175,(DST7),Bears,D/ST,CHI,11
176,(DST8),Vikings,D/ST,MIN,7
177,(DST9),Saints,D/ST,NO,6
178,(DST10),Buccaneers,D/ST,TB,13
179,(DST11),Chargers,D/ST,LAC,10
180,(DST12),Titans,D/ST,TEN,7
181,(K1),Justin,Tucker,BAL,8
182,(K2),Harrison,Butker,KC,10
183,(K3),Wil,Lutz,NO,6
184,(K4),Matt,Prater,DET,5
185,(K5),Chris,Boswell,PIT,8
186,(K6),Greg,Zuerlein,DAL,10
187,(K7),Robbie,Gould,SF,11
188,(K8),Zane,Gonzalez,ARI,8
189,(K9),Jake,Elliott,PHI,9
190,(K10),Austin,Seibert,CLE,9
191,(K11),Rodrigo,Blankenship,IND,7
192,(K12),Ka'imi,Fairbairn,HOU,8
193,(TE20),Dallas,Goedert,PHI,9
194,(WR70),Tee,Higgins,CIN,9
195,(WR71),Van,Jefferson,LAR,9
196,(WR72),Chase,Claypool,PIT,8
197,(WR73),Laviska,Shenault Jr.,JAC,7
198,(WR74),Bryan,Edwards,LV,6
199,(RB61),Devine,Ozigbo,JAC,7
200,(RB62),Carlos,Hyde,SEA,6
201,(RB63),LeSean,McCoy,TB,13
202,(RB64),Jamaal,Williams,GB,5
203,(RB65),Giovani,Bernard,CIN,9
204,(RB66),Brian,Hill,ATL,10
205,(RB67),Bryce,Love,WAS,8
206,(RB68),Malcolm,Brown,LAR,9
207,(RB69),Jalen,Richard,LV,6
208,(RB70),Adrian,Peterson,DET,5
209,(RB71),Rex,Burkhead,NE,6
210,(TE21),Jonnu,Smith,TEN,7
211,(TE22),Blake,Jarwin,DAL,10
212,(QB21),Kirk,Cousins,MIN,7
213,(WR75),James,Washington,PIT,8
214,(WR76),Russell,Gage,ATL,10
215,(WR77),Cole,Beasley,BUF,11
216,(WR78),Danny,Amendola,DET,5
217,(WR79),Hunter,Renfrow,LV,6
218,(WR80),Dede,Westbrook,JAC,7
219,(QB22),Gardner,Minshew II,JAC,7
220,(QB23),Joe,Burrow,CIN,9
221,(DST13),Cowboys,D/ST,DAL,10
222,(DST14),Broncos,D/ST,DEN,8
223,(K13),Brandon,McManus,DEN,8
224,(K14),Younghoe,Koo,ATL,10
225,(WR81),Corey,Davis,TEN,7
226,(WR82),Trent,Taylor,SF,11
227,(WR83),Scotty,Miller,TB,13
228,(WR84),Antonio,Brown,FA,0
229,(WR85),Devin,Duvernay,BAL,8
230,(WR86),Jakeem,Grant,MIA,11
231,(WR87),Adam,Humphries,TEN,7
232,(WR88),Damiere,Byrd,NE,6
233,(WR89),Marquez,Valdes-Scantling,GB,5
234,(WR90),Antonio,Gandy-Golden,WAS,8
235,(RB72),Anthony,McFarland Jr.,PIT,8
236,(RB73),La'Mical,Perine,NYJ,11
237,(RB74),Ke'Shawn,Vaughn,TB,13
238,(RB75),Devonta,Freeman,FA,0
239,(RB76),Ito,Smith,ATL,10
240,(RB77),Gus,Edwards,BAL,8
241,(RB78),J.D.,McKissic,WAS,8
242,(RB79),Frank,Gore,NYJ,11
243,(QB24),Drew,Lock,DEN,8
244,(QB25),Derek,Carr,LV,6
245,(QB26),Philip,Rivers,IND,7
246,(TE23),Ian,Thomas,CAR,13
247,(TE24),Tyler,Eifert,JAC,7
248,(TE25),Jimmy,Graham,CHI,11
249,(TE26),Dawson,Knox,BUF,11
250,(RB80),Jaylen,Samuels,PIT,8
251,(WR91),Chris,Conley,JAC,7
252,(WR92),Josh,Reynolds,LAR,9
253,(DST15),Seahawks,D/ST,SEA,6
254,(DST16),Rams,D/ST,LAR,9
255,(K15),Sam,Sloman,LAR,9
256,(K16),Dan,Bailey,MIN,7
257,(TE27),Kyle,Rudolph,MIN,7
258,(TE28),Will,Dissly,SEA,6
259,(TE29),Greg,Olsen,SEA,6
260,(WR93),Ted,Ginn Jr.,CHI,11
261,(WR94),Kenny,Stills,HOU,8
262,(WR95),John,Ross III,CIN,9
263,(WR96),Andy,Isabella,ARI,8
264,(RB81),Mike,Davis,CAR,13
265,(RB82),Rashaad,Penny,SEA,6
266,(QB27),Sam,Darnold,NYJ,11
267,(QB28),Teddy,Bridgewater,CAR,13
268,(QB29),Dwayne,Haskins Jr.,WAS,8
269,(QB30),Tyrod,Taylor,LAC,10
270,(QB31),Tua,Tagovailoa,MIA,11
271,(WR97),Miles,Boykin,BAL,8
272,(WR98),KJ,Hamler,DEN,8
273,(WR99),Demarcus,Robinson,KC,10
274,(WR100),J.J.,Arcega-Whiteside,PHI,9
275,(WR101),Gunner,Olszewski,NE,6
276,(RB83),Wayne,Gallman,NYG,11
277,(RB84),Dion,Lewis,NYG,11
278,(RB85),Peyton,Barber,WAS,8
279,(RB86),Ryquell,Armstead,JAC,7
280,(RB87),Devontae,Booker,LV,6
281,(RB88),Royce,Freeman,DEN,8
282,(RB89),Trayveon,Williams,CIN,9
283,(RB90),Myles,Gaskin,MIA,11
284,(WR102),Jalen,Guyton,LAC,10
285,(DST17),Eagles,D/ST,PHI,9
286,(DST18),Lions,D/ST,DET,5
287,(K17),Mason,Crosby,GB,5
288,(K18),Jason,Myers,SEA,6
289,(TE30),Jordan,Akins,HOU,8
290,(TE31),Gerald,Everett,LAR,9
291,(TE32),Dan,Arnold,ARI,8
292,(TE33),C.J.,Uzomah,CIN,9
293,(TE34),O.J.,Howard,TB,13
294,(WR103),Chris,Hogan,NYJ,11
295,(WR104),Jakobi,Meyers,NE,6
296,(QB32),Mitchell,Trubisky,CHI,11
297,(DST19),Browns,D/ST,CLE,9
298,(DST20),Chiefs,D/ST,KC,10
299,(DST21),Bengals,D/ST,CIN,9
300,(DST22),Dolphins,D/ST,MIA,11